lat_lon,county
47.9917.-98.8835,BENSON

47.9094.-98.8504,BENSON

47.9797.-98.9943,BENSON

47.718.-101.9461,MCLEAN

46.0953.-100.6289,SIOUX

46.3081.-100.5907,SIOUX

48.8189.-99.8804,ROLETTE

48.0056.-98.856,BENSON

48.818.-99.7944,ROLETTE

46.3317.-100.5542,SIOUX

48.0253.-99.0839,BENSON

47.9208.-98.8046,BENSON

47.9797.-98.9992,BENSON

46.3881.-100.6562,SIOUX

46.12222222.-96.96861111,RICHLAND

48.8594.-100.0292,ROLETTE

48.8367.-99.7268,ROLETTE

47.9714.-99.0836,BENSON

48.9358.-99.7486,ROLETTE

48.8639.-99.7208,ROLETTE

47.9842.-98.8714,BENSON

46.3958.-100.5873,SIOUX

47.9903.-99.0019,BENSON

48.8767.-100.0421,ROLETTE

48.8353.-99.7413,ROLETTE

47.6669.-101.8375,MCLEAN

48.8425.-99.7605,ROLETTE

47.9828.-98.9064,BENSON

46.1675.-100.6985,SIOUX

47.9939.-98.9985,BENSON

48.8608.-99.8546,ROLETTE

48.8664.-100.028,ROLETTE

48.8689.-100.0269,ROLETTE

48.8611.-99.7357,ROLETTE

46.1.-100.6671,SIOUX

47.2643.-98.8356,GRIGGS

47.9878.-98.9978,BENSON

48.9289.-99.8132,ROLETTE

47.9506.-98.9022,BENSON

47.9861.-99.0212,BENSON

48.7116.-102.112,WARD

47.7167.-102.6671,MCKENZIE

48.8419.-99.7257,ROLETTE

46.0994.-100.6457,SIOUX

47.9775.-102.2338,MOUNTRAIL

48.8772.-99.7039,ROLETTE

48.8383.-99.7317,ROLETTE

47.9836.-98.8708,BENSON

47.9819.-98.9994,BENSON

47.9519.-99.0511,BENSON

48.8425.-99.6872,ROLETTE

47.9775.-99.005,BENSON

47.9686.-98.8522,BENSON

48.7417.-99.8485,ROLETTE

47.9292.-98.7379,BENSON

47.64611111.-103.355,MCKENZIE

47.8.-99.0504,EDDY

46.1.-100.6504,SIOUX

48.8658.-99.6876,ROLETTE

48.8042.-99.7992,ROLETTE

48.8442.-99.7539,ROLETTE

48.8592.-100.0269,ROLETTE

46.93325.-103.62536,GOLDENVALLEY

48.9003.-99.7443,ROLETTE

48.8389.-99.7379,ROLETTE

47.9808.-98.8617,BENSON

47.7322.-102.5906,DUNN

47.625.-102.0004,MCLEAN

48.8375.-99.6782,ROLETTE

47.9922.-102.5006,MOUNTRAIL

46.0833.-100.6671,SIOUX

46.1697.-101.2071,GRANT

48.7958.-99.8705,ROLETTE

48.8053.-99.8589,ROLETTE

48.8372.-99.7396,ROLETTE

48.8517.-99.7414,ROLETTE

48.928.-99.8967,ROLETTE

46.1231.-100.6673,SIOUX

46.0967.-100.6373,SIOUX

48.6917.-99.5442,ROLETTE

46.0944.-100.6567,SIOUX

48.8389.-99.7351,ROLETTE

47.05944444.-103.48305556,BILLINGS

47.9747.-99.0842,BENSON

47.9222.-98.7921,BENSON

48.8333.-99.7006,ROLETTE

48.8903.-99.8072,ROLETTE

46.0956.-100.6404,SIOUX

